"","X","common_name","scientific_name","recordist_name","recording_length","Date","TYPE","xc_id","Time","Country","Download_link","genus","file_dir"
"1",1,"Common Ostrich","Struthio camelus australis","Frank Lambert","0:53","2019-10-30","call","XC516153","08:05","South Africa","https://xeno-canto.org/516153/download","Struthio","mp3s/Struthio0.mp3"
"2",2,"Common Ostrich","Struthio camelus","Jeremy Hegge","0:26","2014-11-20","call","XC208209","04:00","South Africa","https://xeno-canto.org/208209/download","Struthio","mp3s/Struthio1.mp3"
"3",3,"Common Ostrich","Struthio camelus","Jeremy Hegge","0:04","2014-11-21","call","XC208128","06:00","South Africa","https://xeno-canto.org/208128/download","Struthio","mp3s/Struthio2.mp3"
"4",4,"Common Ostrich","Struthio camelus","Derek Solomon","0:11","2010-02-09","call","XC46725","07:00","South Africa","https://xeno-canto.org/46725/download","Struthio","mp3s/Struthio3.mp3"
"5",5,"Common Ostrich","Struthio camelus","Morioka Zoological Park ZOOMO","1:47","2021-09-06","voice during egg laying, zoo collection","XC675445","17:00","Japan","https://xeno-canto.org/675445/download","Struthio",NA
"6",6,"Common Ostrich","Struthio camelus","Tony Archer","0:11","2021-09-11","call","XC673753","06:00","South Africa","https://xeno-canto.org/673753/download","Struthio","mp3s/Struthio5.mp3"
"7",7,"Common Ostrich","Struthio camelus","Lynette Rudman","0:09","2015-06-03","begging call","XC563003","10:00","South Africa","https://xeno-canto.org/563003/download","Struthio","mp3s/Struthio6.mp3"
"8",8,"Somali Ostrich","Struthio molybdophanes","Andrew Spencer","0:11","2015-11-09","song","XC292043","09:30","Ethiopia","https://xeno-canto.org/292043/download","Struthio","mp3s/Struthio7.mp3"
"9",9,"Greater Rhea","Rhea americana","Alvaro Riccetto","0:28","2014-11-04","alarm call","XC201498","11:30","Uruguay","https://xeno-canto.org/201498/download","Rhea","mp3s/Rhea8.mp3"
"10",10,"Greater Rhea","Rhea americana","Richard Hoyer","1:26","2014-08-16","song","XC191451","06:18","Brazil","https://xeno-canto.org/191451/download","Rhea","mp3s/Rhea9.mp3"
"11",11,"Greater Rhea","Rhea americana","Bernabe Lopez-Lanus","0:04","2004-08-18","song","XC51833","?:?","Uruguay","https://xeno-canto.org/51833/download","Rhea","mp3s/Rhea10.mp3"
"12",12,"Greater Rhea","Rhea americana araneipes","Rosendo Fraga","0:41","2002-11-29","call","XC49632","08:00","Argentina","https://xeno-canto.org/49632/download","Rhea","mp3s/Rhea11.mp3"
"13",13,"Greater Rhea","Rhea americana albescens","Bernabe Lopez-Lanus","0:35","2008-10-17","booming","XC45555","am","Argentina","https://xeno-canto.org/45555/download","Rhea","mp3s/Rhea12.mp3"
"14",14,"Greater Rhea","Rhea americana","Peter Boesman","0:07","2005-07-20","call","XC229054","06:15","Brazil","https://xeno-canto.org/229054/download","Rhea","mp3s/Rhea13.mp3"
"15",15,"Greater Rhea","Rhea americana","Richard Hoyer","0:06","2014-08-16","song","XC191450","06:10","Brazil","https://xeno-canto.org/191450/download","Rhea","mp3s/Rhea14.mp3"
"16",16,"Greater Rhea","Rhea americana","Lars Lachmann","0:03","2013-02-16","call","XC127145","14:29","Germany","https://xeno-canto.org/127145/download","Rhea","mp3s/Rhea15.mp3"
"17",17,"Greater Rhea","Rhea americana","Juan Pablo Culasso","0:02","2003-09-14","song","XC54184","?:?","Uruguay","https://xeno-canto.org/54184/download","Rhea","mp3s/Rhea16.mp3"
"18",18,"Greater Rhea","Rhea americana","Bernabe Lopez-Lanus","0:19","2004-09-19","song","XC51832","?:?","Uruguay","https://xeno-canto.org/51832/download","Rhea","mp3s/Rhea17.mp3"
"19",19,"Greater Rhea","Rhea americana","Nunes D´Acosta","0:03","2009-08-15","song","XC37806","16:10","Brazil","https://xeno-canto.org/37806/download","Rhea","mp3s/Rhea18.mp3"
"20",20,"Greater Rhea","Rhea americana intermedia","JAYRSON ARAUJO DE OLIVEIRA","0:09","2021-11-03","song","XC686584","16:47","Brazil","https://xeno-canto.org/686584/download","Rhea","mp3s/Rhea19.mp3"
"21",21,"Greater Rhea","Rhea americana americana","JAYRSON ARAUJO DE OLIVEIRA","0:15","2019-06-14","song","XC482438","6:59","Brazil","https://xeno-canto.org/482438/download","Rhea","mp3s/Rhea20.mp3"
"22",22,"Greater Rhea","Rhea americana","Rafael Martos Martins","0:02","2016-04-23","song","XC314181","07:14","Brazil","https://xeno-canto.org/314181/download","Rhea","mp3s/Rhea21.mp3"
"23",23,"Greater Rhea","Rhea americana","Peter Boesman","0:03","2005-07-20","call","XC229055","07:00","Brazil","https://xeno-canto.org/229055/download","Rhea","mp3s/Rhea22.mp3"
"24",24,"Greater Rhea","Rhea americana","Peter Boesman","0:16","2005-07-20","call","XC229053","07:15","Brazil","https://xeno-canto.org/229053/download","Rhea","mp3s/Rhea23.mp3"
"25",25,"Greater Rhea","Rhea americana","Joao Menezes","0:17","2012-07-09","song","XC108649","14:38","Brazil","https://xeno-canto.org/108649/download","Rhea","mp3s/Rhea24.mp3"
"26",26,"Greater Rhea","Rhea americana","Juan Pablo Culasso","0:08","2003-09-14","song","XC54183","?:?","Uruguay","https://xeno-canto.org/54183/download","Rhea","mp3s/Rhea25.mp3"
"27",27,"Greater Rhea","Rhea americana","Bernabe Lopez-Lanus","0:05","2001-03-11","song","XC51834","?:?","Argentina","https://xeno-canto.org/51834/download","Rhea","mp3s/Rhea26.mp3"
"28",28,"Greater Rhea","Rhea americana","Nunes D´Acosta","0:01","2009-08-15","?","XC37805","17:20","Brazil","https://xeno-canto.org/37805/download","Rhea","mp3s/Rhea27.mp3"
"29",29,"Greater Rhea","Rhea americana","Nunes D´Acosta","0:01","2009-08-15","song","XC37804","16:30","Brazil","https://xeno-canto.org/37804/download","Rhea","mp3s/Rhea28.mp3"
"30",30,"Greater Rhea","Rhea americana","GABRIEL LEITE","0:04","2019-11-25","call","XC510934","07:00","Brazil","https://xeno-canto.org/510934/download","Rhea","mp3s/Rhea29.mp3"
"31",31,"Greater Rhea","Rhea americana","Lars Lachmann","0:02","2013-02-16","song","XC127143","14:26","Germany","https://xeno-canto.org/127143/download","Rhea","mp3s/Rhea30.mp3"
"32",32,"Lesser Rhea","Rhea pennata","Elisa M. Huanca Plata - Universidad Técnica de Oruro","0:22","2014-09-23","song, llamada reproductiva","XC304506","11:30","Bolivia","https://xeno-canto.org/304506/download","Rhea","mp3s/Rhea31.mp3"
"33",33,"Lesser Rhea","Rhea pennata pennata","Andrew Spencer","0:24","2011-11-17","call","XC90569","08:40","Chile","https://xeno-canto.org/90569/download","Rhea","mp3s/Rhea32.mp3"
"34",34,"Lesser Rhea","Rhea pennata pennata","Andrew Spencer","0:05","2011-10-26","call","XC89244","17:00","Chile","https://xeno-canto.org/89244/download","Rhea","mp3s/Rhea33.mp3"
"35",35,"Lesser Rhea","Rhea pennata","Fabrice Schmitt","0:12","2018-11-01","call","XC543987","14:00","Chile","https://xeno-canto.org/543987/download","Rhea","mp3s/Rhea34.mp3"
"36",36,"Southern Brown Kiwi","Apteryx australis","James Lidster","0:25","2020-02-02","","XC525925","01:45","New Zealand","https://xeno-canto.org/525925/download","Apteryx","mp3s/Apteryx35.mp3"
"37",37,"Southern Brown Kiwi","Apteryx australis lawryi","ZHANG Shen","0:12","2017-09-26","song","XC389022","20:36","New Zealand","https://xeno-canto.org/389022/download","Apteryx","mp3s/Apteryx36.mp3"
"38",38,"Southern Brown Kiwi","Apteryx australis","Dan Lane","0:06","2014-11-22","call","XC207312","20:00","New Zealand","https://xeno-canto.org/207312/download","Apteryx","mp3s/Apteryx37.mp3"
"39",39,"North Island Brown Kiwi","Apteryx mantelli","David Boyle","0:35","2021-08-14","call","XC668545","01:30","New Zealand","https://xeno-canto.org/668545/download","Apteryx","mp3s/Apteryx38.mp3"
"40",40,"North Island Brown Kiwi","Apteryx mantelli","James Lidster","0:20","2020-01-17","call","XC526191","22:30","New Zealand","https://xeno-canto.org/526191/download","Apteryx","mp3s/Apteryx39.mp3"
"41",41,"North Island Brown Kiwi","Apteryx mantelli","James Lidster","0:14","2020-01-17","call","XC526190","22:30","New Zealand","https://xeno-canto.org/526190/download","Apteryx","mp3s/Apteryx40.mp3"
"42",42,"North Island Brown Kiwi","Apteryx mantelli","James Lidster","0:30","2020-01-17","call","XC526189","22:30","New Zealand","https://xeno-canto.org/526189/download","Apteryx","mp3s/Apteryx41.mp3"
"43",43,"North Island Brown Kiwi","Apteryx mantelli","Lindsay Alexander","0:35","2019-09-03","call, morepork (or ruru or southern boobook) calls briefly near end female call., adul","XC521536","20:30","New Zealand","https://xeno-canto.org/521536/download","Apteryx","mp3s/Apteryx42.mp3"
"44",44,"North Island Brown Kiwi","Apteryx mantelli","Andrew McCafferty","0:16","2019-11-11","uncertain","XC638202","20:50","New Zealand","https://xeno-canto.org/638202/download","Apteryx","mp3s/Apteryx43.mp3"
"45",45,"North Island Brown Kiwi","Apteryx mantelli","Andrew McCafferty","0:22","2019-11-11","song","XC638200","21:38","New Zealand","https://xeno-canto.org/638200/download","Apteryx","mp3s/Apteryx44.mp3"
"46",46,"North Island Brown Kiwi","Apteryx mantelli","James Lidster","0:10","2020-01-17","call","XC526192","22:30","New Zealand","https://xeno-canto.org/526192/download","Apteryx","mp3s/Apteryx45.mp3"
"47",47,"North Island Brown Kiwi","Apteryx mantelli","James Lidster","0:20","2020-01-17","call","XC526188","22:30","New Zealand","https://xeno-canto.org/526188/download","Apteryx","mp3s/Apteryx46.mp3"
"48",48,"North Island Brown Kiwi","Apteryx mantelli","James Lidster","0:09","2020-01-17","call","XC526186","22:30","New Zealand","https://xeno-canto.org/526186/download","Apteryx","mp3s/Apteryx47.mp3"
"49",49,"North Island Brown Kiwi","Apteryx mantelli","James Lidster","0:18","2020-01-17","call","XC526185","22:30","New Zealand","https://xeno-canto.org/526185/download","Apteryx","mp3s/Apteryx48.mp3"
"50",50,"North Island Brown Kiwi","Apteryx mantelli","James Lidster","0:37","2020-01-17","call","XC526184","22:30","New Zealand","https://xeno-canto.org/526184/download","Apteryx","mp3s/Apteryx49.mp3"
"51",51,"North Island Brown Kiwi","Apteryx mantelli","Lindsay Alexander","1:02","2019-06-13","call","XC521538","20:30","New Zealand","https://xeno-canto.org/521538/download","Apteryx","mp3s/Apteryx50.mp3"
"52",52,"North Island Brown Kiwi","Apteryx mantelli","Lindsay Alexander","0:52","2019-07-04","call, morepork owl calls briefly","XC521537","18:00","New Zealand","https://xeno-canto.org/521537/download","Apteryx","mp3s/Apteryx51.mp3"
"53",53,"North Island Brown Kiwi","Apteryx mantelli","Lindsay Alexander","0:32","2019-08-24","call","XC521535","23:30","New Zealand","https://xeno-canto.org/521535/download","Apteryx","mp3s/Apteryx52.mp3"
"54",54,"North Island Brown Kiwi","Apteryx mantelli","Tony Fulford","0:20","2016-12-14","call","XC348749","23:00","New Zealand","https://xeno-canto.org/348749/download","Apteryx","mp3s/Apteryx53.mp3"
"55",55,"North Island Brown Kiwi","Apteryx mantelli","James Lidster","0:09","2020-01-17","call","XC525927","21:30","New Zealand","https://xeno-canto.org/525927/download","Apteryx","mp3s/Apteryx54.mp3"
